treatment,species,individual,replicate,upper.count.leaf0,lower.count.leaf0,upper.count.leaf2,lower.count.leaf2
burn,serrep,571,1,100,104,na,na
burn,serrep,571,2,110,108,na,na
burn,serrep,572,1,107,97,na,na
burn,serrep,572,2,102,104,na,na
burn,serrep,573,1,107,112,101,90
burn,serrep,573,2,119,108,88,87
burn,serrep,574,1,91,97,na,na
burn,serrep,574,2,88,112,na,na
burn,serrep,575,1,101,92,102,98
burn,serrep,575,2,97,99,87,87
burn,serrep,576,1,93,94,77,83
burn,serrep,576,2,90,96,82,90
burn,serrep,577,1,104,99,92,89
burn,serrep,577,2,88,98,76,75
burn,serrep,578,1,97,100,100,81
burn,serrep,578,2,87,87,100,97
burn,serrep,579,1,89,95,81,79
burn,serrep,579,2,70,88,72,99
burn,serrep,570,1,79,85,72,80
burn,serrep,570,2,71,84,64,81
burn,sabeto,531,1,78,82,61,64
burn,sabeto,531,2,80,91,57,59
burn,sabeto,532,1,85,93,69,75
burn,sabeto,532,2,97,87,55,73
burn,sabeto,533,1,80,96,70,89
burn,sabeto,533,2,79,85,81,82
burn,sabeto,534,1,59,60,67,75
burn,sabeto,534,2,70,77,67,80
burn,sabeto,535,1,86,97,56,61
burn,sabeto,535,2,86,91,67,62
burn,sabeto,536,1,90,75,63,63
burn,sabeto,536,2,74,70,56,58
burn,sabeto,537,1,90,85,71,74
burn,sabeto,537,2,96,93,73,83
burn,sabeto,538,1,77,79,56,77
burn,sabeto,538,2,77,68,53,69
burn,sabeto,539,1,109,112,83,77
burn,sabeto,539,2,90,112,83,76
burn,sabeto,540,1,98,102,68,74
burn,sabeto,540,2,88,88,62,79
clip,sabeto,630,1,72,70,98,90
clip,sabeto,630,2,69,64,78,94
clip,sabeto,631,1,66,79,na,na
clip,sabeto,631,2,68,76,na,na
clip,sabeto,632,1,92,75,103,102
clip,sabeto,632,2,94,105,60,89
clip,sabeto,633,1,83,83,76,78
clip,sabeto,633,2,101,85,81,75
clip,sabeto,634,1,68,70,74,69
clip,sabeto,634,2,78,77,70,88
clip,sabeto,635,1,69,87,na,na
clip,sabeto,635,2,61,64,na,na
clip,serrep,671,1,96,104,47,63
clip,serrep,671,2,93,92,64,66
clip,serrep,672,1,91,86,68,82
clip,serrep,672,2,104,95,73,64
clip,serrep,673,1,97,106,94,111
clip,serrep,673,2,91,107,90,103
clip,serrep,674,1,92,94,81,100
clip,serrep,674,2,91,98,92,99
clip,serrep,675,1,103,95,na,na
clip,serrep,675,2,80,91,na,na
clip,serrep,676,1,91,79,na,na
clip,serrep,676,2,80,88,na,na