species,unit,individual,leaf.age,replicate,upper.count,lower.count,years.since.fire
sabeto,30bc,9,old,1,67,89,50
sabeto,30bc,9,old,2,65,74,50
sabeto,30bc,10,new,1,78,77,50
sabeto,30bc,10,new,2,79,90,50
sabeto,30bc,10,old,1,79,83,50
sabeto,30bc,10,old,2,76,79,50
sabeto,60d,1,new,1,80,62,0.25
sabeto,60d,1,new,2,69,71,0.25
sabeto,60d,1,old,1,60,62,0.25
sabeto,60d,1,old,2,65,70,0.25
sabeto,60d,2,new,1,74,78,0.25
sabeto,60d,2,new,2,66,67,0.25
sabeto,60d,2,old,1,82,95,0.25
sabeto,60d,2,old,2,67,83,0.25
sabeto,60d,3,new,1,92,101,0.25
sabeto,60d,3,new,2,83,78,0.25
sabeto,60d,3,old,1,66,65,0.25
sabeto,60d,3,old,2,72,73,0.25
sabeto,60d,4,new,1,78,74,0.25
sabeto,60d,4,new,2,74,80,0.25
sabeto,60d,4,old,1,83,82,0.25
sabeto,60d,4,old,2,75,69,0.25
sabeto,60d,5,new,1,94,85,0.25
sabeto,60d,5,new,2,76,81,0.25
sabeto,60d,5,old,1,85,89,0.25
sabeto,60d,5,old,2,81,86,0.25
sabeto,60d,6,new,1,74,87,0.25
sabeto,60d,6,new,2,75,78,0.25
sabeto,60d,6,old,1,94,87,0.25
sabeto,60d,6,old,2,95,94,0.25
sabeto,60d,7,new,1,67,77,0.25
sabeto,60d,7,new,2,67,81,0.25
sabeto,60d,7,old,1,60,68,0.25
sabeto,60d,7,old,2,63,68,0.25
sabeto,60d,8,new,1,81,72,0.25
sabeto,60d,8,new,2,71,74,0.25
sabeto,60d,8,old,1,76,63,0.25
sabeto,60d,8,old,2,69,81,0.25
sabeto,60d,9,new,1,50,58,0.25
sabeto,60d,9,new,2,51,61,0.25
sabeto,60d,9,old,1,67,75,0.25
sabeto,60d,9,old,2,54,77,0.25
sabeto,60d,10,new,1,77,91,0.25
sabeto,60d,10,new,2,88,103,0.25
sabeto,60d,10,old,1,76,78,0.25
sabeto,60d,10,old,2,80,75,0.25
sabeto,60a,1,new,1,115,111,1
sabeto,60a,1,new,2,98,119,1
sabeto,60a,1,old,1,69,88,1
sabeto,60a,1,old,2,59,83,1
sabeto,60a,2,new,1,87,87,1
sabeto,60a,2,new,2,91,85,1
sabeto,60a,2,old,1,82,78,1
sabeto,60a,2,old,2,77,83,1
sabeto,60a,3,new,1,86,99,1
sabeto,60a,3,new,2,102,96,1
sabeto,60a,3,old,1,83,93,1
sabeto,60a,3,old,2,85,90,1
sabeto,60a,4,new,1,95,99,1
sabeto,60a,4,new,2,97,98,1
sabeto,60a,4,old,1,96,92,1
sabeto,60a,4,old,2,85,97,1
sabeto,60a,5,new,1,87,90,1
sabeto,60a,5,new,2,97,101,1
sabeto,60a,5,old,1,75,79,1
sabeto,60a,5,old,2,69,78,1
sabeto,60a,6,new,1,85,95,1
sabeto,60a,6,new,2,89,88,1
sabeto,60a,6,old,1,87,84,1
sabeto,60a,6,old,2,74,89,1
sabeto,60a,7,new,1,86,96,1
sabeto,60a,7,new,2,98,120,1
sabeto,60a,7,old,1,93,86,1
sabeto,60a,7,old,2,77,81,1
sabeto,60a,8,new,1,80,82,1
sabeto,60a,8,new,2,90,75,1
sabeto,60a,8,old,1,75,70,1
sabeto,60a,8,old,2,73,74,1
sabeto,60a,9,new,1,71,81,1
sabeto,60a,9,new,2,76,87,1
sabeto,60a,9,old,1,44,75,1
sabeto,60a,9,old,2,74,71,1
sabeto,60a,10,new,1,92,87,1
sabeto,60a,10,new,2,95,93,1
sabeto,60a,10,old,1,70,70,1
sabeto,60a,10,old,2,77,77,1
sabeto,56b,1,new,1,56,55,1
sabeto,56b,1,new,2,60,65,1
sabeto,56b,1,old,1,52,78,1
sabeto,56b,1,old,2,58,65,1
sabeto,56b,2,new,1,77,89,1
sabeto,56b,2,new,2,91,97,1
sabeto,56b,2,old,1,77,75,1
sabeto,56b,2,old,2,90,87,1
sabeto,56b,3,new,1,66,56,1
sabeto,56b,3,new,2,66,73,1
sabeto,56b,3,old,1,52,60,1
sabeto,56b,3,old,2,53,69,1
sabeto,56b,4,new,1,78,75,1
sabeto,56b,4,new,2,87,84,1
sabeto,56b,4,old,1,70,70,1
sabeto,56b,4,old,2,59,69,1
sabeto,56b,5,new,1,79,82,1
sabeto,56b,5,new,2,87,88,1
sabeto,56b,5,old,1,71,98,1
sabeto,56b,5,old,2,75,94,1
sabeto,56b,6,new,1,77,87,1
sabeto,56b,6,new,2,81,85,1
sabeto,56b,6,old,1,61,65,1
sabeto,56b,6,old,2,50,60,1
sabeto,56b,7,new,1,98,100,1
sabeto,56b,7,new,2,105,102,1
sabeto,56b,7,old,1,70,79,1
sabeto,56b,7,old,2,71,73,1
sabeto,56b,8,new,1,73,72,1
sabeto,56b,8,new,2,77,75,1
sabeto,56b,8,old,1,64,65,1
sabeto,56b,8,old,2,61,75,1
sabeto,56b,9,new,1,83,76,1
sabeto,56b,9,new,2,68,91,1
sabeto,56b,9,old,1,62,61,1
sabeto,56b,9,old,2,63,90,1
sabeto,56b,10,new,1,82,82,1
sabeto,56b,10,new,2,92,77,1
sabeto,56b,10,old,1,91,95,1
sabeto,56b,10,old,2,93,97,1
sabeto,56c,1,new,1,90,82,30
sabeto,56c,1,new,2,87,97,30
sabeto,56c,1,old,1,75,84,30
sabeto,56c,1,old,2,80,87,30
sabeto,56c,2,new,1,70,81,30
sabeto,56c,2,new,2,76,89,30
sabeto,56c,2,old,1,55,75,30
sabeto,56c,2,old,2,65,80,30
sabeto,56c,3,new,1,60,62,30
sabeto,56c,3,new,2,63,64,30
sabeto,56c,3,old,1,67,61,30
sabeto,56c,3,old,2,72,76,30
sabeto,56c,4,new,1,82,83,30
sabeto,56c,4,new,2,69,84,30
sabeto,56c,4,old,1,66,77,30
sabeto,56c,4,old,2,66,70,30
sabeto,56c,5,new,1,79,75,30
sabeto,56c,5,new,2,94,86,30
sabeto,56c,5,old,1,69,75,30
sabeto,56c,5,old,2,85,101,30
sabeto,56c,6,new,1,95,79,30
sabeto,56c,6,new,2,96,84,30
sabeto,56c,6,old,1,81,83,30
sabeto,56c,6,old,2,80,85,30
sabeto,56c,7,new,1,72,85,30
sabeto,56c,7,new,2,90,89,30
sabeto,56c,7,old,1,80,85,30
sabeto,56c,7,old,2,87,98,30
sabeto,56c,8,new,1,82,78,30
sabeto,56c,8,new,2,83,86,30
sabeto,56c,8,old,1,77,72,30
sabeto,56c,8,old,2,87,97,30
sabeto,56c,9,new,1,64,76,30
sabeto,56c,9,new,2,87,79,30
sabeto,56c,9,old,1,71,77,30
sabeto,56c,9,old,2,82,91,30
sabeto,56c,10,new,1,63,76,30
sabeto,56c,10,new,2,80,89,30
sabeto,56c,10,old,1,69,60,30
sabeto,56c,10,old,2,68,81,30
sabeto,58e,1,new,1,67,68,3
sabeto,58e,1,new,2,72,70,3
sabeto,58e,1,old,1,74,82,3
sabeto,58e,1,old,2,79,84,3
sabeto,58e,2,new,1,69,70,3
sabeto,58e,2,new,2,74,73,3
sabeto,58e,2,old,1,71,79,3
sabeto,58e,2,old,2,67,84,3
sabeto,58e,3,new,1,79,93,3
sabeto,58e,3,new,2,77,98,3
sabeto,58e,3,old,1,80,93,3
sabeto,58e,3,old,2,84,105,3
sabeto,58e,4,new,1,90,86,3
sabeto,58e,4,new,2,85,86,3
sabeto,58e,4,old,1,69,75,3
sabeto,58e,4,old,2,83,80,3
sabeto,58e,5,new,1,84,82,3
sabeto,58e,5,new,2,81,89,3
sabeto,58e,5,old,1,99,104,3
sabeto,58e,5,old,2,118,108,3
sabeto,58e,6,new,1,71,77,3
sabeto,58e,6,new,2,65,92,3
sabeto,58e,6,old,1,88,86,3
sabeto,58e,6,old,2,84,83,3
sabeto,58e,7,new,1,59,53,3
sabeto,58e,7,new,2,66,72,3
sabeto,58e,7,old,1,72,69,3
sabeto,58e,7,old,2,67,73,3
sabeto,58e,8,new,1,73,75,3
sabeto,58e,8,new,2,88,85,3
sabeto,58e,8,old,1,65,72,3
sabeto,58e,8,old,2,68,70,3
sabeto,58e,9,new,1,77,82,3
sabeto,58e,9,new,2,80,76,3
sabeto,58e,9,old,1,65,71,3
sabeto,58e,9,old,2,74,82,3
sabeto,58e,10,new,1,83,77,3
sabeto,58e,10,new,2,86,84,3
sabeto,58e,10,old,1,73,81,3
sabeto,58e,10,old,2,77,77,3
sabeto,58A,1,new,1,81,75,1
sabeto,58A,1,new,2,81,80,1
sabeto,58A,1,old,1,78,78,1
sabeto,58A,1,old,2,72,62,1
sabeto,58A,2,new,1,92,98,1
sabeto,58A,2,new,2,106,109,1
sabeto,58A,2,old,1,77,74,1
sabeto,58A,2,old,2,81,80,1
sabeto,58A,3,new,1,66,75,1
sabeto,58A,3,new,2,70,64,1
sabeto,58A,3,old,1,42,61,1
sabeto,58A,3,old,2,72,71,1
sabeto,58A,4,new,1,75,77,1
sabeto,58A,4,new,2,82,81,1
sabeto,58A,4,old,1,64,76,1
sabeto,58A,4,old,2,69,68,1
sabeto,58A,5,new,1,86,88,1
sabeto,58A,5,new,2,96,86,1
sabeto,58A,5,old,1,73,58,1
sabeto,58A,5,old,2,67,70,1
sabeto,58A,6,new,1,80,79,1
sabeto,58A,6,new,2,88,83,1
sabeto,58A,6,old,1,65,77,1
sabeto,58A,6,old,2,67,77,1
sabeto,58A,7,new,1,88,85,1
sabeto,58A,7,new,2,95,92,1
sabeto,58A,7,old,1,81,75,1
sabeto,58A,7,old,2,77,74,1
sabeto,58A,8,new,1,96,90,1
sabeto,58A,8,new,2,104,97,1
sabeto,58A,8,old,1,64,58,1
sabeto,58A,8,old,2,53,65,1
sabeto,58A,9,new,1,82,85,1
sabeto,58A,9,new,2,86,84,1
sabeto,58A,9,old,1,59,52,1
sabeto,58A,9,old,2,76,82,1
sabeto,58A,10,new,1,82,84,1
sabeto,58A,10,new,2,100,88,1
sabeto,58A,10,old,1,61,57,1
sabeto,58A,10,old,2,68,60,1
serrep,58A,1,new,1,110,124,1
serrep,58A,1,new,2,100,109,1
serrep,58A,1,old,1,108,99,1
serrep,58A,1,old,2,96,95,1
serrep,58A,2,new,1,95,100,1
serrep,58A,2,new,2,104,101,1
serrep,58A,2,old,1,132,105,1
serrep,58A,2,old,2,124,116,1
serrep,58A,3,new,1,103,108,1
serrep,58A,3,new,2,98,94,1
serrep,58A,3,old,1,78,71,1
serrep,58A,3,old,2,74,82,1
serrep,58A,4,new,1,97,102,1
serrep,58A,4,new,2,103,106,1
serrep,58A,4,old,1,82,92,1
serrep,58A,4,old,2,96,97,1
serrep,58A,5,new,1,94,93,1
serrep,58A,5,new,2,84,90,1
serrep,58A,5,old,1,107,114,1
serrep,58A,5,old,2,103,107,1
serrep,58A,6,new,1,124,113,1
serrep,58A,6,new,2,111,107,1
serrep,58A,6,old,1,91,90,1
serrep,58A,6,old,2,92,100,1
serrep,58A,7,new,1,76,82,1
serrep,58A,7,new,2,91,100,1
serrep,58A,7,old,1,80,90,1
serrep,58A,7,old,2,94,105,1
serrep,58A,8,new,1,100,94,1
serrep,58A,8,new,2,96,93,1
serrep,58A,8,old,1,89,81,1
serrep,58A,8,old,2,87,81,1
serrep,58A,9,new,1,107,100,1
serrep,58A,9,new,2,101,116,1
serrep,58A,9,old,1,91,72,1
serrep,58A,9,old,2,71,82,1
serrep,58A,10,new,1,94,94,1
serrep,58A,10,new,2,93,107,1
serrep,58A,10,old,1,94,103,1
serrep,58A,10,old,2,84,113,1
sabeto,48c,1,new,1,84,76,2
sabeto,48c,1,new,2,87,105,2
sabeto,48c,1,old,1,97,94,2
sabeto,48c,1,old,2,97,97,2
sabeto,48c,2,new,1,68,65,2
sabeto,48c,2,new,2,70,73,2
sabeto,48c,2,old,1,74,69,2
sabeto,48c,2,old,2,70,84,2
sabeto,48c,3,new,1,80,96,2
sabeto,48c,3,new,2,87,99,2
sabeto,48c,3,old,1,90,103,2
sabeto,48c,3,old,2,103,111,2
sabeto,48c,4,new,1,69,85,2
sabeto,48c,4,new,2,71,91,2
sabeto,48c,4,old,1,81,90,2
sabeto,48c,4,old,2,100,100,2
sabeto,48c,5,new,1,87,100,2
sabeto,48c,5,new,2,94,98,2
sabeto,48c,5,old,1,88,92,2
sabeto,48c,5,old,2,89,98,2
sabeto,48c,6,new,1,84,118,2
sabeto,48c,6,new,2,96,112,2
sabeto,48c,6,old,1,88,101,2
sabeto,48c,6,old,2,108,111,2
sabeto,48c,7,new,1,88,91,2
sabeto,48c,7,new,2,88,96,2
sabeto,48c,7,old,1,102,99,2
sabeto,48c,7,old,2,94,108,2
sabeto,48c,8,new,1,74,81,2
sabeto,48c,8,new,2,73,76,2
sabeto,48c,8,old,1,69,80,2
sabeto,48c,8,old,2,65,74,2
sabeto,48c,10,new,1,73,71,2
sabeto,48c,10,new,2,71,80,2
sabeto,48c,10,old,1,98,96,2
sabeto,48c,10,old,2,93,91,2
serrep,48c,1,new,1,104,93,2
serrep,48c,1,new,2,99,113,2
serrep,48c,1,old,1,100,95,2
serrep,48c,1,old,2,109,111,2
serrep,48c,2,new,1,92,107,2
serrep,48c,2,new,2,102,92,2
serrep,48c,2,old,1,106,102,2
serrep,48c,2,old,2,114,115,2
serrep,48c,3,new,1,92,82,2
serrep,48c,3,new,2,105,106,2
serrep,48c,3,old,1,90,90,2
serrep,48c,3,old,2,100,115,2
serrep,48c,4,new,1,105,115,2
serrep,48c,4,new,2,115,108,2
serrep,48c,4,old,1,85,105,2
serrep,48c,4,old,2,111,110,2
serrep,48c,5,new,1,118,134,2
serrep,48c,5,new,2,107,94,2
serrep,48c,5,old,1,91,86,2
serrep,48c,5,old,2,93,109,2
serrep,48c,6,new,1,79,97,2
serrep,48c,6,new,2,92,94,2
serrep,48c,6,old,1,98,101,2
serrep,48c,6,old,2,97,94,2
serrep,48c,7,new,1,99,99,2
serrep,48c,7,new,2,89,101,2
serrep,48c,7,old,1,94,94,2
serrep,48c,7,old,2,92,94,2
serrep,48c,8,new,1,92,96,2
serrep,48c,8,new,2,97,94,2
serrep,48c,8,old,1,103,72,2
serrep,48c,8,old,2,98,88,2
serrep,48c,9,new,1,97,113,2
serrep,48c,9,new,2,102,106,2
serrep,48c,9,old,1,104,90,2
serrep,48c,9,old,2,105,104,2
serrep,48c,10,new,1,102,96,2
serrep,48c,10,new,2,97,105,2
serrep,48c,10,old,1,98,94,2
serrep,48c,10,old,2,98,91,2
sabeto,49b,1,new,1,76,99,2
sabeto,49b,1,new,2,81,90,2
sabeto,49b,1,old,1,86,93,2
sabeto,49b,1,old,2,97,101,2
sabeto,49b,2,new,1,84,99,2
sabeto,49b,2,new,2,100,93,2
sabeto,49b,2,old,1,97,102,2
sabeto,49b,2,old,2,90,117,2
sabeto,49b,3,new,1,86,93,2
sabeto,49b,3,new,2,104,96,2
sabeto,49b,3,old,1,78,84,2
sabeto,49b,3,old,2,89,82,2
sabeto,49b,4,new,1,66,78,2
sabeto,49b,4,new,2,71,79,2
sabeto,49b,4,old,1,85,98,2
sabeto,49b,4,old,2,97,112,2
sabeto,49b,6,new,1,73,72,2
sabeto,49b,6,new,2,73,68,2
sabeto,49b,6,old,1,94,106,2
sabeto,49b,6,old,2,97,105,2
sabeto,49b,7,new,1,67,72,2
sabeto,49b,7,new,2,80,78,2
sabeto,49b,7,old,1,94,87,2
sabeto,49b,7,old,2,75,89,2
sabeto,49b,8,new,1,82,91,2
sabeto,49b,8,new,2,90,105,2
sabeto,49b,8,old,1,88,102,2
sabeto,49b,8,old,2,91,95,2
sabeto,49b,9,new,1,89,92,2
sabeto,49b,9,new,2,87,88,2
sabeto,49b,9,old,1,96,103,2
sabeto,49b,9,old,2,102,98,2
sabeto,49b,10,new,1,87,98,2
sabeto,49b,10,new,2,90,89,2
sabeto,49b,10,old,1,92,100,2
sabeto,49b,10,old,2,93,107,2
serrep,49b,1,new,1,112,96,2
serrep,49b,1,new,2,85,89,2
serrep,49b,1,old,1,84,80,2
serrep,49b,1,old,2,91,98,2
serrep,49b,2,new,1,110,111,2
serrep,49b,2,new,2,116,112,2
serrep,49b,2,old,1,114,108,2
serrep,49b,2,old,2,118,96,2
serrep,49b,3,new,1,95,101,2
serrep,49b,3,new,2,110,111,2
serrep,49b,3,old,1,107,127,2
serrep,49b,3,old,2,117,120,2
serrep,49b,4,new,1,97,98,2
serrep,49b,4,new,2,105,103,2
serrep,49b,4,old,1,90,85,2
serrep,49b,4,old,2,123,98,2
serrep,49b,5,new,1,97,91,2
serrep,49b,5,new,2,99,102,2
serrep,49b,5,old,1,92,97,2
serrep,49b,5,old,2,105,96,2
serrep,49b,6,new,1,106,89,2
serrep,49b,6,new,2,104,98,2
serrep,49b,6,old,1,88,94,2
serrep,49b,6,old,2,97,106,2
serrep,49b,7,new,1,96,100,2
serrep,49b,7,new,2,101,113,2
serrep,49b,7,old,1,103,87,2
serrep,49b,7,old,2,103,99,2
serrep,49b,8,new,1,111,86,2
serrep,49b,8,new,2,122,90,2
serrep,49b,8,old,1,101,95,2
serrep,49b,8,old,2,111,110,2
serrep,49b,9,new,1,105,88,2
serrep,49b,9,new,2,100,111,2
serrep,49b,9,old,1,91,95,2
serrep,49b,9,old,2,87,92,2
serrep,49b,10,new,1,86,92,2
serrep,49b,10,new,2,104,91,2
serrep,49b,10,old,1,85,78,2
serrep,49b,10,old,2,96,86,2
sabeto,45,1,new,1,71,70,0.25
sabeto,45,1,new,2,57,68,0.25
sabeto,45,1,old,1,54,61,0.25
sabeto,45,1,old,2,69,61,0.25
sabeto,45,2,new,1,79,84,0.25
sabeto,45,2,new,2,76,81,0.25
sabeto,45,2,old,1,49,75,0.25
sabeto,45,2,old,2,73,86,0.25
sabeto,45,3,new,1,86,101,0.25
sabeto,45,3,new,2,95,94,0.25
sabeto,45,3,old,1,70,77,0.25
sabeto,45,3,old,2,81,72,0.25
sabeto,45,4,new,1,87,92,0.25
sabeto,45,4,new,2,88,94,0.25
sabeto,45,4,old,1,95,89,0.25
sabeto,45,4,old,2,109,89,0.25
sabeto,45,5,new,1,86,97,0.25
sabeto,45,5,new,2,96,90,0.25
sabeto,45,5,old,1,83,75,0.25
sabeto,45,5,old,2,85,77,0.25
sabeto,45,6,new,1,92,94,0.25
sabeto,45,6,new,2,101,89,0.25
sabeto,45,6,old,1,77,80,0.25
sabeto,45,6,old,2,94,72,0.25
sabeto,45,7,new,1,86,81,0.25
sabeto,45,7,new,2,88,88,0.25
sabeto,45,7,old,1,58,63,0.25
sabeto,45,7,old,2,63,77,0.25
sabeto,45,8,new,1,100,101,0.25
sabeto,45,8,new,2,113,100,0.25
sabeto,45,8,old,1,80,80,0.25
sabeto,45,8,old,2,82,93,0.25
sabeto,45,9,new,1,92,90,0.25
sabeto,45,9,new,2,84,81,0.25
sabeto,45,9,old,1,72,80,0.25
sabeto,45,9,old,2,75,83,0.25
sabeto,45,10,new,1,91,81,0.25
sabeto,45,10,new,2,98,83,0.25
sabeto,45,10,old,1,60,59,0.25
sabeto,45,10,old,2,66,64,0.25